,Date,Open,High,Low,Close,Volume
180,2023-01-31,2.06,2.216,1.9796,2.19,29740510.0
181,2023-02-01,2.19,2.45,2.12,2.4,38750453.0
182,2023-02-02,2.68,3.05,2.57,2.79,63861878.0
183,2023-02-03,2.58,2.94,2.51,2.59,27596069.0
184,2023-02-06,2.49,2.5486,2.3,2.39,22809713.0
185,2023-02-07,2.4,2.435,2.27,2.36,16914288.0
186,2023-02-08,2.37,2.44,2.22,2.23,16512584.0
187,2023-02-09,2.37,2.44,2.04,2.04,22623192.0
188,2023-02-10,1.94,2.04,1.88,1.95,16862774.0
189,2023-02-13,1.96,2.03,1.87,2.01,17106798.0
190,2023-02-14,2.0,2.28,1.93,2.16,26372928.0
191,2023-02-15,2.19,2.36,2.15,2.34,24220549.0
192,2023-02-16,2.32,2.3783,2.15,2.16,22326225.0
193,2023-02-17,2.1,2.175,1.94,2.01,27600294.0
194,2023-02-21,1.95,2.05,1.83,1.84,18668995.0
195,2023-02-22,1.86,1.89,1.73,1.85,22380473.0
196,2023-02-23,1.9,1.96,1.73,1.82,24933770.0
197,2023-02-24,1.65,1.74,1.55,1.6,31763811.0
198,2023-02-27,1.65,1.68,1.4101,1.44,32755644.0
199,2023-02-28,1.455,1.52,1.43,1.44,15421147.0
200,2023-03-01,1.44,1.44,1.29,1.34,30344521.0
201,2023-03-02,1.31,1.42,1.29,1.4,14894266.0
202,2023-03-03,1.42,1.54,1.38,1.53,22613493.0
203,2023-03-06,1.6,1.67,1.46,1.47,26148875.0
204,2023-03-07,1.48,1.54,1.4401,1.455,17953840.0
205,2023-03-08,1.45,1.57,1.41,1.56,19821076.0
206,2023-03-09,1.54,1.575,1.35,1.355,18291622.0
207,2023-03-10,1.35,1.37,1.1018,1.19,41987821.0
208,2023-03-13,1.23,1.37,1.15,1.32,24592829.0
209,2023-03-14,1.44,1.52,1.35,1.38,20231409.0
210,2023-03-15,1.44,1.66,1.33,1.62,44228881.0
211,2023-03-16,1.65,1.7,1.54,1.67,27677155.0
212,2023-03-17,1.64,1.69,1.55,1.61,20736870.0
213,2023-03-20,1.55,1.65,1.45,1.45,24404478.0
214,2023-03-21,1.51,1.7,1.5,1.69,22622806.0
215,2023-03-22,1.73,1.7799,1.53,1.54,25007975.0
216,2023-03-23,1.61,1.95,1.595,1.7,36640101.0
217,2023-03-24,1.72,1.825,1.63,1.66,24289348.0
218,2023-03-27,1.7,1.75,1.56,1.6,26958094.0
219,2023-03-28,1.57,1.63,1.46,1.47,17718240.0
220,2023-03-29,1.5,1.6,1.45,1.58,19811766.0
221,2023-03-30,1.6,1.68,1.58,1.63,14703042.0
222,2023-03-31,1.67,1.84,1.63,1.76,22883835.0
223,2023-04-03,1.73,1.87,1.73,1.84,20997621.0
224,2023-04-04,1.87,1.88,1.72,1.77,16027033.0
225,2023-04-05,1.73,1.76,1.58,1.64,17290831.0
226,2023-04-06,1.62,1.72,1.6,1.68,10739467.0
227,2023-04-10,1.66,1.69,1.59,1.68,20179679.0
228,2023-04-11,1.67,1.85,1.6609,1.82,18805541.0
229,2023-04-12,1.92,1.96,1.78,1.78,22235887.0
230,2023-04-13,1.86,1.96,1.82,1.83,18531768.0
231,2023-04-14,1.84,1.85,1.67,1.7,22109591.0
232,2023-04-17,1.685,1.75,1.64,1.75,17466723.0
233,2023-04-18,1.76,1.76,1.64,1.69,15498884.0
234,2023-04-19,1.63,1.67,1.54,1.56,19719193.0
235,2023-04-20,1.52,1.66,1.48,1.49,17462519.0
236,2023-04-21,1.5,1.59,1.43,1.54,15825367.0
237,2023-04-24,1.515,1.53,1.37,1.41,21008725.0
238,2023-04-25,1.39,1.4,1.3,1.33,17317108.0
239,2023-04-26,1.36,1.36,1.25,1.26,19735438.0
240,2023-04-27,1.31,1.33,1.26,1.29,13340753.0
241,2023-04-28,1.29,1.42,1.26,1.38,18647394.0
242,2023-05-01,1.385,1.49,1.36,1.46,23643811.0
243,2023-05-02,1.46,1.465,1.31,1.36,15472908.0
244,2023-05-03,1.38,1.43,1.31,1.34,11092365.0
245,2023-05-04,1.35,1.37,1.26,1.35,13264976.0
246,2023-05-05,1.48,1.8,1.47,1.79,38851668.0
247,2023-05-08,1.83,2.155,1.81,2.05,45542740.0
248,2023-05-09,2.03,2.27,1.95,2.15,28860616.0
249,2023-05-10,2.31,2.66,2.06,2.1,57394263.0
250,2023-05-11,2.09,2.31,2.09,2.1,25188565.0
